FanID,Institution,EducationStatus,EducationDate,Degree,DegreeType,College,Division,Department
1837,Florida State University,Graduated,2006-08-18T00:00:00.000000000,Bachelor of Arts,PRIMARY,Business,Finance,Finance
1837,Florida State University,Graduated,2012-08-11T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
1838,Florida State University,Graduated,1988-12-10T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Economics,Economics
1881,Florida State University,Graduated,2013-08-03T00:00:00.000000000,Master of Accounting,PRIMARY,Business,Accounting,Taxation
1881,Florida State University,Graduated,2011-04-30T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
1881,Florida State University,Graduated,2006-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
1891,Florida State University,Graduated,1976-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Risk Management & Insurance,Risk Management/Insurance
1902,Florida State University,Graduated,1997-04-26T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
1904,Florida State University,Graduated,2011-04-30T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,International Affairs,International Affairs
1904,Florida State University,Graduated,2014-12-12T00:00:00.000000000,Master of Sci. Planning,PRIMARY,Social Sciences,Urban Planning,Urban & Regional Planning
1904,Florida State University,Graduated,2011-04-30T00:00:00.000000000,Bachelor of Arts,SECONDARY,Arts & Sciences,History,History
1904,Florida State University,Graduated,2014-12-12T00:00:00.000000000,Master of Science,PRIMARY,Social Sciences,International Affairs,International Affairs
1919,Florida State University,Graduated,1974-06-01T00:00:00.000000000,Master of Sci. Planning,PRIMARY,Social Sciences,Urban Planning,Urban & Regional Planning
1919,Florida State University,Graduated,1969-06-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,Sociology,Sociology
1938,Florida State University,Incomplete,,,PRIMARY,Arts & Sciences,Arts & Sciences,Undecided
1948,Florida State University,Graduated,2003-12-13T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Sports Management,Sports Administration
1949,Florida State University,Graduated,2008-08-09T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
1949,Florida State University,Graduated,2008-08-09T00:00:00.000000000,Bachelor of Science,SECONDARY,Business,Risk Management & Insurance,Risk Management/Insurance
1959,Florida State University,Graduated,1971-06-01T00:00:00.000000000,Bachelor of Social Welfare,PRIMARY,Social Work,Social Work,Social Work
1991,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Bachelor of Social Welfare,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
2018,Florida State University,Graduated,1964-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Home Economics Education,Family/Consumer Science Ed
2034,Florida State University,Graduated,1972-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
2034,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Master of Accounting,PRIMARY,Business,Accounting,Accounting
2039,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2039,Florida State University,Graduated,2012-08-11T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
2039,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Science,SECONDARY,"Education, Health, and Human Sciences",Sports Management,Sport Management
2044,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Library & Information Studies,Information Technology
2049,Florida State University,Graduated,2006-12-16T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
2050,Florida State University,Graduated,2006-12-16T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Economics,Applied Economics
2064,Florida State University,Graduated,1978-08-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
2077,Florida State University,Incomplete,,,PRIMARY,Business,Accounting,Accounting
2111,Florida State University,Graduated,1991-04-27T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Reading Ed&Language Arts
2111,Florida State University,Graduated,1983-08-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Elementary Education
2114,Florida State University,Graduated,2010-12-11T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2127,Florida State University,Graduated,1975-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Meteorology,Meteorology
2127,Florida State University,Graduated,1988-08-15T00:00:00.000000000,Doctor of Philosophy,PRIMARY,Arts & Sciences,Meteorology,Meteorology
2189,Florida State University,Graduated,1968-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
2189,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Master of Sci. Planning,PRIMARY,Social Sciences,Public Administration,Public Administration
2230,Florida State University,Graduated,2012-08-11T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
2230,Florida State University,Graduated,2008-08-09T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Management,Human Resource Management
2238,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
2245,Florida State University,Graduated,2004-05-01T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
2247,Florida State University,Graduated,1972-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Business,Business
2256,Florida State University,Graduated,1962-01-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2256,Rollins College,Graduated,1978-06-01T00:00:00.000000000,Master of Science,,,,
2272,Florida State University,Graduated,1948-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,History,History
2285,Florida State University,Graduated,2014-05-03T00:00:00.000000000,Doctor of Nursing,PRIMARY,Nursing,Nursing,Family Nurse Practitioner
2285,Florida State University,Graduated,2009-12-12T00:00:00.000000000,Bachelor of Science in Nursing,PRIMARY,Nursing,Nursing,Nursing
2287,Florida State University,Graduated,2011-08-13T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Management,Management
2300,Florida State University,Graduated,1966-04-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2311,Florida State University,Graduated,2011-04-30T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2317,Florida State University,Graduated,2011-04-30T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2330,Florida State University,Graduated,1953-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
2343,Florida State University,Graduated,2001-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,Digital Media Production
2351,Florida State University,Graduated,2007-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
2364,Florida State University,Graduated,1949-06-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,Political Science,Political Science
2375,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
2386,Florida State University,Graduated,2006-12-16T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Meteorology,Meteorology
2394,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2416,Florida State University,Graduated,2006-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
2430,Florida State University,Graduated,1973-08-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
2459,Florida State University,Graduated,2010-08-07T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
2459,Florida State University,Graduated,2010-08-07T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
2488,Florida State University,Graduated,1981-06-01T00:00:00.000000000,Doctor of Philosophy,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Special Education
2488,Florida State University,Graduated,1956-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Fine Arts,Theatre,Theatre
2488,Florida State University,Graduated,1970-06-01T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Education,Education
2498,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,International Affairs,International Affairs
2532,Florida State University,Graduated,1965-12-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,Political Science,Political Science
2532,University Of Miami,Graduated,1969-01-01T00:00:00.000000000,Juris Doctor,,,,
2542,Florida State University,Graduated,1978-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
2561,Florida State University,Graduated,1967-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
2592,Florida State University,Graduated,1992-08-14T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Political Science,Political Science
2592,Florida State University,Graduated,1991-12-14T00:00:00.000000000,Associate of Arts,PRIMARY,Social Sciences,Social Sciences,Political Science
2599,Florida State University,Graduated,1975-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Political Science,Political Science
2610,Florida State University,Graduated,1992-04-25T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,General Communication
2627,Florida State University,Graduated,1995-04-29T00:00:00.000000000,Associate of Arts,PRIMARY,Undergraduate Studies,Undergraduate Studies,Undergraduate Studies
2627,Florida State University,Graduated,1999-12-18T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
2627,Florida State University,Graduated,1996-12-14T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,Communication/Advertising
2638,Florida State University,Graduated,1978-06-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Arts & Sciences,Psychology,Psychology
2656,Florida State University,Graduated,2009-08-08T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Family & Child Sciences,Family and Child Sciences
2658,Florida State University,Graduated,1971-06-01T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business,Management
2658,Florida State University,Graduated,1969-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Risk Management & Insurance,Risk Management/Insurance
2664,Florida State University,Graduated,1994-04-30T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
2664,Florida State University,Graduated,1994-04-30T00:00:00.000000000,Bachelor of Science,SECONDARY,Business,Finance,Finance
2667,Florida State University,Graduated,1995-08-15T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
2674,Florida State University,Graduated,1960-08-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
2675,Florida State University,Graduated,1999-05-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Engineering,Chemical & Biomedical,Chemical Eng/Environmental
