FanID,IWave_Properties,IWave_PropertiesValue,IWave_AnnualCapacity,IWave_AnnualCapacityTargetProduction
4559,0.0,,,
4563,0.0,,,
4565,1.0,591200.0,5912.0,1005.04
4566,0.0,,,
4568,0.0,,,
4571,0.0,,,
4572,0.0,,,
4573,0.0,,,
4579,1.0,497400.0,4974.0,845.58
4588,2.0,3848700.0,64047.0,10887.99
4596,0.0,,,
4597,0.0,,,
4605,0.0,,4000.0,680.0
4633,1.0,519100.0,7500.0,1275.0
4657,1.0,326600.0,3500.0,595.0
4673,0.0,,,
4682,1.0,1477300.0,30000.0,5100.0
4701,0.0,,,
4710,1.0,1027800.0,10278.0,1747.26
4738,1.0,1330900.0,19963.0,3393.71
4739,0.0,,,
4749,0.0,,,
4750,1.0,621600.0,6526.0,1109.42
4751,1.0,363300.0,726.0,123.42
4754,0.0,,,
4755,0.0,,,
4756,0.0,,,
