FanID,DriveYear,predicted_amount,pct_years_met_commitment,high_amount,high_reliability,quadrant
7262,2024,97.77057,100.0,False,True,Base Estable
7276,2017,104.115204,100.0,False,True,Base Estable
7280,2024,103.60769,88.88888888888889,False,False,Baja Prioridad
7283,2016,4082.749,100.0,True,True,VIP — Prioridad Máxima
7291,2022,418.3296,100.0,False,True,Base Estable
7411,2022,1742.7933,100.0,True,True,VIP — Prioridad Máxima
7487,2024,720.75385,100.0,False,True,Base Estable
7523,2024,14035.154,100.0,True,True,VIP — Prioridad Máxima
7582,2024,229.11662,66.66666666666667,False,False,Baja Prioridad
7585,2023,6558.2056,100.0,True,True,VIP — Prioridad Máxima
7597,2019,91.43956,100.0,False,True,Base Estable
7614,2024,2371.3074,100.0,True,True,VIP — Prioridad Máxima
7615,2016,177.20198,100.0,False,True,Base Estable
7623,2024,174.99187,88.88888888888889,False,False,Baja Prioridad
7625,2018,79.95448,100.0,False,True,Base Estable
7643,2024,708.9501,100.0,False,True,Base Estable
7651,2024,781.1096,100.0,False,True,Base Estable
7673,2024,436.9583,100.0,False,True,Base Estable
7712,2018,76.553085,100.0,False,True,Base Estable
7742,2024,761.67084,100.0,False,True,Base Estable
7753,2024,164.61177,100.0,False,True,Base Estable
7754,2017,53.346107,100.0,False,True,Base Estable
7778,2023,334.68335,100.0,False,True,Base Estable
7832,2017,3732.657,100.0,True,True,VIP — Prioridad Máxima
7839,2024,467.04294,100.0,False,True,Base Estable
7861,2016,227.20612,100.0,False,True,Base Estable
7864,2019,73.86958,50.0,False,False,Baja Prioridad
7876,2016,373.5406,100.0,False,True,Base Estable
7909,2023,109.491745,100.0,False,True,Base Estable
7934,2021,911.08563,100.0,False,True,Base Estable
7965,2024,163.69669,100.0,False,True,Base Estable
7984,2024,338.5012,100.0,False,True,Base Estable
7988,2017,166.05576,100.0,False,True,Base Estable
7996,2018,795.5461,100.0,False,True,Base Estable
8032,2025,828.79407,100.0,False,True,Base Estable
8153,2024,140.15501,100.0,False,True,Base Estable
8163,2024,661.21466,100.0,False,True,Base Estable
8193,2016,926.3576,100.0,False,True,Base Estable
8200,2023,2251.7507,100.0,True,True,VIP — Prioridad Máxima
8207,2017,578.4579,100.0,False,True,Base Estable
8252,2024,1475.126,87.5,True,False,Alto Potencial — Requiere Seguimiento
8274,2015,627.30554,100.0,False,True,Base Estable
8306,2024,910.3331,83.33333333333333,False,False,Baja Prioridad
8326,2020,475.92776,100.0,False,True,Base Estable
8351,2016,411.85938,100.0,False,True,Base Estable
8362,2024,668.7063,100.0,False,True,Base Estable
8371,2024,66.71113,75.0,False,False,Baja Prioridad
8379,2022,2732.7844,80.0,True,False,Alto Potencial — Requiere Seguimiento
8383,2024,783.57605,100.0,False,True,Base Estable
8385,2023,1130.0724,85.71428571428571,False,False,Baja Prioridad
8393,2024,158.66725,100.0,False,True,Base Estable
8427,2017,1040.3927,100.0,False,True,Base Estable
8428,2024,805.4499,100.0,False,True,Base Estable
8448,2019,163.1834,100.0,False,True,Base Estable
8449,2023,5434.7915,100.0,True,True,VIP — Prioridad Máxima
8450,2017,144.8014,100.0,False,True,Base Estable
8453,2014,2774.3115,0.0,True,False,Alto Potencial — Requiere Seguimiento
8455,2022,3057.747,100.0,True,True,VIP — Prioridad Máxima
8466,2016,92.20554,100.0,False,True,Base Estable
8521,2024,71.716805,100.0,False,True,Base Estable
8575,2017,762.313,100.0,False,True,Base Estable
8592,2021,262.37863,100.0,False,True,Base Estable
8593,2024,1322.3372,100.0,True,True,VIP — Prioridad Máxima
8690,2023,2141.5798,100.0,True,True,VIP — Prioridad Máxima
8720,2023,453.84534,100.0,False,True,Base Estable
8757,2018,1136.7496,100.0,False,True,Base Estable
8784,2024,485.6382,100.0,False,True,Base Estable
8809,2024,1558.3309,66.66666666666667,True,False,Alto Potencial — Requiere Seguimiento
8840,2024,446.33478,100.0,False,True,Base Estable
8876,2017,120.11558,100.0,False,True,Base Estable
8888,2024,267.255,100.0,False,True,Base Estable
8920,2024,76.33225,100.0,False,True,Base Estable
8922,2019,94.65857,100.0,False,True,Base Estable
8943,2025,819.30585,100.0,False,True,Base Estable
8944,2023,93.106125,100.0,False,True,Base Estable
8973,2020,114.838425,100.0,False,True,Base Estable
8981,2024,5140.765,100.0,True,True,VIP — Prioridad Máxima
8990,2024,6834.3867,100.0,True,True,VIP — Prioridad Máxima
9017,2025,3022.6362,100.0,True,True,VIP — Prioridad Máxima
9060,2024,1787.0682,100.0,True,True,VIP — Prioridad Máxima
9105,2019,114.433365,75.0,False,False,Baja Prioridad
9175,2017,168.74307,100.0,False,True,Base Estable
9195,2019,419.50253,100.0,False,True,Base Estable
9212,2025,727.18054,100.0,False,True,Base Estable
9324,2024,469.60895,100.0,False,True,Base Estable
9352,2024,91.11321,100.0,False,True,Base Estable
9416,2015,546.5111,100.0,False,True,Base Estable
9426,2024,2448.7563,100.0,True,True,VIP — Prioridad Máxima
9452,2022,1283.8064,100.0,True,True,VIP — Prioridad Máxima
9456,2025,3077.0955,100.0,True,True,VIP — Prioridad Máxima
9624,2024,342.6863,100.0,False,True,Base Estable
9647,2024,329.4025,100.0,False,True,Base Estable
9687,2025,3709.6653,100.0,True,True,VIP — Prioridad Máxima
9732,2021,244.69601,100.0,False,True,Base Estable
9734,2024,2685.6938,100.0,True,True,VIP — Prioridad Máxima
9792,2024,2912.4736,87.5,True,False,Alto Potencial — Requiere Seguimiento
9854,2020,72.22868,100.0,False,True,Base Estable
9875,2024,3106.597,100.0,True,True,VIP — Prioridad Máxima
9899,2024,89.48082,100.0,False,True,Base Estable
9905,2023,1093.1213,100.0,False,True,Base Estable
9928,2022,155.2518,100.0,False,True,Base Estable
9974,2024,1250.2716,75.0,False,False,Baja Prioridad
9975,2024,139.59216,100.0,False,True,Base Estable
9982,2019,1632.8376,100.0,True,True,VIP — Prioridad Máxima
10006,2024,5481.434,100.0,True,True,VIP — Prioridad Máxima
