FanID,Board,Role,StartDate,EndDate,Current
275935052,Seminole Boosters Board of Directors,At-Large,1992-01-01T00:00:00.000000000,1994-12-31T00:00:00.000000000,false
254073,Seminole Boosters Board of Directors,At-Large,1985-01-01T00:00:00.000000000,1987-12-31T00:00:00.000000000,false
254073,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
240595,Seminole Boosters Board of Directors,Ex-Officio,1974-01-01T00:00:00.000000000,,true
584715,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
584715,Seminole Boosters Board of Directors,At-Large,2007-07-01T00:00:00.000000000,2010-06-30T00:00:00.000000000,false
584715,Seminole Boosters Board of Directors,Chair-Elect,2012-07-01T00:00:00.000000000,2013-06-30T00:00:00.000000000,false
584715,Seminole Boosters Board of Directors,Past Chairman,2013-07-01T00:00:00.000000000,2015-12-12T00:00:00.000000000,false
90885,Seminole Boosters Board of Directors,At-Large,1986-01-01T00:00:00.000000000,1987-12-31T00:00:00.000000000,false
435238,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,1996-12-31T00:00:00.000000000,true
435238,Seminole Boosters Board of Directors,At-Large,1997-01-01T00:00:00.000000000,1999-12-31T00:00:00.000000000,true
435238,Seminole Boosters Board of Directors,Ex-Officio,1999-01-01T00:00:00.000000000,1999-12-31T00:00:00.000000000,true
435238,Seminole Boosters Board of Directors,Ex-Officio,2002-01-01T00:00:00.000000000,,true
764170,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,false
764170,Seminole Boosters Board of Directors,At-Large,2002-01-01T00:00:00.000000000,2004-12-31T00:00:00.000000000,false
764170,Seminole Boosters Board of Directors,Ex-Officio,2013-07-01T00:00:00.000000000,2014-06-30T00:00:00.000000000,false
274518789,Seminole Boosters Board of Directors,At-Large,2016-07-01T00:00:00.000000000,2022-06-30T00:00:00.000000000,false
276002334,Seminole Boosters Board of Directors,At-Large,2003-01-01T00:00:00.000000000,2005-12-31T00:00:00.000000000,false
107859,Seminole Boosters Board of Directors,Ex-Officio,2010-07-01T00:00:00.000000000,2011-06-30T00:00:00.000000000,false
274543652,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,1996-12-31T00:00:00.000000000,false
274543652,Seminole Boosters Board of Directors,At-Large,1997-01-01T00:00:00.000000000,1999-07-09T00:00:00.000000000,false
688974,Seminole Boosters Board of Directors,At-Large,1989-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
688974,Seminole Boosters Board of Directors,At-Large,2006-01-01T00:00:00.000000000,2007-06-30T00:00:00.000000000,false
732967,Seminole Boosters Board of Directors,At-Large,1995-01-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,false
732967,Seminole Boosters Board of Directors,At-Large,1998-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
578840,Seminole Boosters Board of Directors,At-Large,1981-01-01T00:00:00.000000000,1981-12-31T00:00:00.000000000,false
578840,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
578840,Seminole Boosters Board of Directors,At-Large,1986-01-01T00:00:00.000000000,1992-12-31T00:00:00.000000000,false
578840,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,1996-12-31T00:00:00.000000000,false
578840,Seminole Boosters Board of Directors,At-Large,1997-01-01T00:00:00.000000000,1998-12-31T00:00:00.000000000,false
